#EnsemblGeneID(0)	ChromosomeName(1)	promoterStart(2)	promoterStop(3)	Strand(4)
AAEL005312	supercont1.151	1363358	1364357	-
AAEL005326	supercont1.151	1384890	1385889	+
AAEL005337	supercont1.151	1443511	1444510	-
AAEL005325	supercont1.151	1705516	1706515	-
AAEL005332	supercont1.151	1828832	1829831	+
AAEL005331	supercont1.151	1851728	1852727	+
AAEL005322	supercont1.151	1941356	1942355	+
AAEL005315	supercont1.151	2067563	2068562	+
AAEL005321	supercont1.151	2102531	2103530	-
AAEL015128	supercont1.1510	21521	22520	-
AAEL015127	supercont1.1510	48141	49140	-
AAEL015129	supercont1.1511	38680	39679	-
AAEL015130	supercont1.1511	58254	59253	-
AAEL015140	supercont1.1514	4799	5798	+
AAEL015136	supercont1.1514	5697	6696	+
AAEL015139	supercont1.1514	38975	39974	+
AAEL015138	supercont1.1514	38977	39976	-
AAEL015135	supercont1.1514	39666	40665	-
AAEL015137	supercont1.1514	58447	59446	-
AAEL015143	supercont1.1517	24082	25081	-
AAEL015141	supercont1.1517	29687	30686	-
AAEL015142	supercont1.1517	51646	52645	+
AAEL015144	supercont1.1518	60227	61226	-
AAEL015145	supercont1.1519	40000	40999	+
AAEL005348	supercont1.152	523121	524120	-
AAEL005351	supercont1.152	527677	528676	-
AAEL005362	supercont1.152	557014	558013	-
AAEL005350	supercont1.152	594757	595756	-
AAEL005368	supercont1.152	656266	657265	+
AAEL005355	supercont1.152	656550	657549	-
AAEL005347	supercont1.152	741477	742476	-
AAEL005370	supercont1.152	810157	811156	-
AAEL005345	supercont1.152	870740	871739	-
AAEL005363	supercont1.152	1135027	1136026	+
AAEL005367	supercont1.152	1208914	1209913	-
AAEL005360	supercont1.152	1228824	1229823	+
AAEL005369	supercont1.152	1291623	1292622	-
AAEL005357	supercont1.152	1300279	1301278	-
AAEL005359	supercont1.152	1378193	1379192	-
AAEL005342	supercont1.152	1437762	1438761	+
AAEL005365	supercont1.152	1467774	1468773	+
AAEL005356	supercont1.152	1505283	1506282	+
AAEL005361	supercont1.152	1512456	1513455	+
AAEL005366	supercont1.152	1551969	1552968	-
AAEL005343	supercont1.152	1582287	1583286	-
AAEL005371	supercont1.152	1696944	1697943	-
AAEL005354	supercont1.152	1709296	1710295	+
AAEL005364	supercont1.152	1740037	1741036	-
AAEL005349	supercont1.152	1936593	1937592	-
AAEL005353	supercont1.152	1947530	1948529	-
AAEL005358	supercont1.152	1978395	1979394	-
AAEL005346	supercont1.152	1993822	1994821	+
AAEL005352	supercont1.152	2031920	2032919	-
AAEL005344	supercont1.152	2032938	2033937	+
AAEL015146	supercont1.1520	59636	60635	-
AAEL015147	supercont1.1521	33473	34472	+
AAEL015148	supercont1.1526	77985	78984	-
AAEL015150	supercont1.1527	27839	28838	+
AAEL015149	supercont1.1527	34454	35453	-
AAEL015151	supercont1.1527	69227	70226	+
AAEL015154	supercont1.1529	18127	19126	+
AAEL015152	supercont1.1529	57535	58534	-
AAEL015155	supercont1.1529	61261	62260	+
AAEL015153	supercont1.1529	66785	67784	-
AAEL005372	supercont1.153	656627	657626	-
AAEL005373	supercont1.153	1134853	1135852	-
AAEL005375	supercont1.153	1644120	1645119	+
AAEL005374	supercont1.153	1773056	1774055	-
AAEL015156	supercont1.1530	22089	23088	-
AAEL015161	supercont1.1533	14320	15319	+
AAEL015162	supercont1.1533	22590	23589	+
AAEL015160	supercont1.1533	46590	47589	+
AAEL015163	supercont1.1534	1	717	+
AAEL015170	supercont1.1538	33990	34989	+
AAEL005398	supercont1.154	13009	14008	+
AAEL005388	supercont1.154	16106	17105	-
AAEL005391	supercont1.154	28626	29625	+
AAEL005390	supercont1.154	56773	57772	+
AAEL005395	supercont1.154	110521	111520	+
AAEL005387	supercont1.154	150144	151143	-
AAEL005381	supercont1.154	309635	310634	-
AAEL005376	supercont1.154	391714	392713	+
AAEL005386	supercont1.154	413817	414816	+
AAEL005396	supercont1.154	515782	516781	-
AAEL005389	supercont1.154	542760	543759	-
AAEL016368	supercont1.154	732929	733928	+
AAEL005393	supercont1.154	766388	767387	+
AAEL005383	supercont1.154	781063	782062	+
AAEL005379	supercont1.154	900522	901521	-
AAEL016369	supercont1.154	972142	973141	+
AAEL005392	supercont1.154	1118235	1119234	+
AAEL005382	supercont1.154	1218578	1219577	-
AAEL005394	supercont1.154	1220475	1221474	-
AAEL005397	supercont1.154	1287936	1288935	+
AAEL005385	supercont1.154	1362744	1363743	+
AAEL015767	supercont1.154	1767464	1768463	-
AAEL015700	supercont1.154	1768949	1769948	-
AAEL015687	supercont1.154	1771030	1772029	-
AAEL015691	supercont1.154	1773252	1774251	+
AAEL015693	supercont1.154	1775221	1776220	+
AAEL015688	supercont1.154	1777427	1778426	-
AAEL015846	supercont1.154	1780959	1781958	-
AAEL015984	supercont1.154	1783787	1784786	-
AAEL005377	supercont1.154	1801080	1802079	+
AAEL015685	supercont1.154	1813010	1814009	-
AAEL005384	supercont1.154	1818041	1819040	+
AAEL005380	supercont1.154	1914114	1915113	-
AAEL005378	supercont1.154	2012542	2013541	-
AAEL015171	supercont1.1542	26569	27568	-
AAEL015172	supercont1.1542	35539	36538	+
AAEL015784	supercont1.1544	3250	4249	-
AAEL015177	supercont1.1546	1983	2982	+
AAEL005428	supercont1.155	25260	26259	+
AAEL005420	supercont1.155	290848	291847	-
AAEL005404	supercont1.155	300936	301935	+
AAEL005427	supercont1.155	370977	371976	-
AAEL005416	supercont1.155	390624	391623	+
AAEL005425	supercont1.155	427582	428581	-
AAEL005419	supercont1.155	442900	443899	+
AAEL005406	supercont1.155	499049	500048	-
AAEL005415	supercont1.155	500080	501079	+
AAEL005409	supercont1.155	519760	520759	+
AAEL005399	supercont1.155	543791	544790	-
AAEL005417	supercont1.155	556721	557720	+
AAEL005426	supercont1.155	579673	580672	+
AAEL005412	supercont1.155	598689	599688	+
AAEL005408	supercont1.155	605327	606326	+
AAEL005407	supercont1.155	617604	618603	+
AAEL005403	supercont1.155	643303	644302	-
AAEL005414	supercont1.155	648002	649001	+
AAEL005400	supercont1.155	882609	883608	-
AAEL005418	supercont1.155	970953	971952	-
AAEL005421	supercont1.155	1054876	1055875	+
AAEL005410	supercont1.155	1064525	1065524	+
AAEL005411	supercont1.155	1137327	1138326	-
AAEL005402	supercont1.155	1234034	1235033	+
AAEL005405	supercont1.155	1286029	1287028	-
AAEL005424	supercont1.155	1358942	1359941	+
AAEL005413	supercont1.155	1466061	1467060	+
AAEL005423	supercont1.155	1466585	1467584	-
AAEL005401	supercont1.155	1485414	1486413	-
AAEL005422	supercont1.155	1700497	1701496	-
AAEL015180	supercont1.1551	51500	52499	-
AAEL015182	supercont1.1552	1	1	+
AAEL015181	supercont1.1552	12087	13086	+
AAEL015183	supercont1.1554	19514	20513	-
AAEL005441	supercont1.156	46729	47728	+
AAEL005438	supercont1.156	120690	121689	-
AAEL005433	supercont1.156	144550	145549	+
AAEL005429	supercont1.156	188987	189986	-
AAEL005432	supercont1.156	218894	219893	-
AAEL005443	supercont1.156	265160	266159	+
AAEL005442	supercont1.156	287283	288282	-
AAEL005444	supercont1.156	460070	461069	-
AAEL005437	supercont1.156	547232	548231	-
AAEL016370	supercont1.156	611224	612223	+
AAEL005440	supercont1.156	644684	645683	+
AAEL005434	supercont1.156	724766	725765	+
AAEL016371	supercont1.156	813890	814889	+
AAEL016372	supercont1.156	830622	831621	-
AAEL005430	supercont1.156	1527181	1528180	-
AAEL005439	supercont1.156	1578064	1579063	-
AAEL005436	supercont1.156	1708770	1709769	+
AAEL005435	supercont1.156	1725827	1726826	+
AAEL016373	supercont1.156	1977906	1978905	-
AAEL005431	supercont1.156	1979597	1980596	+
AAEL015190	supercont1.1566	5363	6362	-
AAEL015191	supercont1.1567	29914	30913	-
AAEL005456	supercont1.157	318126	319125	-
AAEL005454	supercont1.157	359312	360311	-
AAEL005455	supercont1.157	363919	364918	+
AAEL005446	supercont1.157	487473	488472	-
AAEL005460	supercont1.157	751072	752071	+
AAEL005453	supercont1.157	945566	946565	+
AAEL005447	supercont1.157	985019	986018	+
AAEL005452	supercont1.157	1441588	1442587	+
AAEL005450	supercont1.157	1483414	1484413	-
AAEL005449	supercont1.157	1494056	1495055	+
AAEL005445	supercont1.157	1534419	1535418	-
AAEL005457	supercont1.157	1534794	1535793	+
AAEL005458	supercont1.157	1603010	1604009	-
AAEL005451	supercont1.157	1726499	1727498	+
AAEL005448	supercont1.157	1832167	1833166	-
AAEL005459	supercont1.157	1916716	1917715	-
AAEL015197	supercont1.1572	69649	70648	+
AAEL015199	supercont1.1573	110296	111295	+
AAEL015198	supercont1.1573	120085	121084	+
AAEL015200	supercont1.1574	19846	20845	-
AAEL015201	supercont1.1577	31903	32902	+
AAEL015202	supercont1.1577	39327	40326	-
AAEL015203	supercont1.1578	11640	12639	+
AAEL016374	supercont1.158	266292	267291	-
AAEL005472	supercont1.158	615062	616061	-
AAEL005470	supercont1.158	627167	628166	+
AAEL005471	supercont1.158	633256	634255	+
AAEL005469	supercont1.158	651627	652626	+
AAEL005476	supercont1.158	910275	911274	+
AAEL005468	supercont1.158	983675	984674	-
AAEL005462	supercont1.158	1114611	1115610	+
AAEL005461	supercont1.158	1115569	1116568	+
AAEL005473	supercont1.158	1162930	1163929	+
AAEL005465	supercont1.158	1232281	1233280	+
AAEL005478	supercont1.158	1303840	1304839	-
AAEL005477	supercont1.158	1445075	1446074	+
AAEL005475	supercont1.158	1494686	1495685	-
AAEL005474	supercont1.158	1531093	1532092	+
AAEL005479	supercont1.158	1583756	1584755	+
AAEL005467	supercont1.158	1699591	1700590	+
AAEL005463	supercont1.158	1778854	1779853	-
AAEL005466	supercont1.158	1967282	1968281	-
AAEL005464	supercont1.158	1981975	1982974	-
AAEL015215	supercont1.1588	578	1577	+
AAEL015217	supercont1.1588	37570	38569	-
AAEL015216	supercont1.1588	91422	92421	+
AAEL005480	supercont1.159	21778	22777	-
AAEL005490	supercont1.159	222810	223809	+
AAEL005496	supercont1.159	513785	514784	+
AAEL005482	supercont1.159	730596	731595	-
AAEL016375	supercont1.159	858272	859271	+
AAEL005491	supercont1.159	900905	901904	+
AAEL005489	supercont1.159	992191	993190	+
AAEL005487	supercont1.159	1050205	1051204	-
AAEL005494	supercont1.159	1072885	1073884	+
AAEL005495	supercont1.159	1224614	1225613	+
AAEL005493	supercont1.159	1283099	1284098	-
AAEL005492	supercont1.159	1354959	1355958	+
AAEL005484	supercont1.159	1510260	1511259	+
AAEL005488	supercont1.159	1572478	1573477	-
AAEL005481	supercont1.159	1620896	1621895	+
AAEL005483	supercont1.159	1683315	1684314	+
AAEL005485	supercont1.159	1785120	1786119	-
AAEL005486	supercont1.159	1884636	1885635	+
AAEL015219	supercont1.1596	12582	13581	-
AAEL015218	supercont1.1596	17193	18192	+
AAEL000762	supercont1.16	188863	189862	+
AAEL000765	supercont1.16	282224	283223	+
AAEL000780	supercont1.16	366880	367879	+
AAEL000752	supercont1.16	410600	411599	-
AAEL000789	supercont1.16	411151	412150	-
AAEL000783	supercont1.16	413261	414260	+
AAEL000779	supercont1.16	506015	507014	-
AAEL000771	supercont1.16	585411	586410	-
AAEL000786	supercont1.16	591483	592482	+
AAEL000774	supercont1.16	592402	593401	-
AAEL000792	supercont1.16	707404	708403	-
AAEL000760	supercont1.16	849700	850699	-
AAEL000759	supercont1.16	980843	981842	-
AAEL000763	supercont1.16	1035819	1036818	-
AAEL000753	supercont1.16	1099831	1100830	+
AAEL000766	supercont1.16	1118147	1119146	-
AAEL000767	supercont1.16	1239546	1240545	-
AAEL000761	supercont1.16	1497603	1498602	-
AAEL000784	supercont1.16	1508932	1509931	-
AAEL000782	supercont1.16	1511954	1512953	+
AAEL000773	supercont1.16	1599891	1600890	+
AAEL000768	supercont1.16	1600753	1601752	-
AAEL000772	supercont1.16	1628152	1629151	-
AAEL000758	supercont1.16	1644938	1645937	+
AAEL000781	supercont1.16	1699038	1700037	-
AAEL000776	supercont1.16	1744393	1745392	-
AAEL000788	supercont1.16	1794348	1795347	-
AAEL000756	supercont1.16	1836071	1837070	-
AAEL015968	supercont1.16	1859495	1860494	-
AAEL016057	supercont1.16	2563325	2564324	+
AAEL000790	supercont1.16	2563942	2564941	-
AAEL016058	supercont1.16	2565892	2566891	-
AAEL016059	supercont1.16	2607504	2608503	+
AAEL016060	supercont1.16	2656594	2657593	+
AAEL016061	supercont1.16	2744034	2745033	+
AAEL016062	supercont1.16	2851259	2852258	+
AAEL000755	supercont1.16	2923014	2924013	-
AAEL016063	supercont1.16	2929739	2930738	+
AAEL016064	supercont1.16	2957315	2958314	-
AAEL016065	supercont1.16	2978427	2979426	+
AAEL016066	supercont1.16	2991496	2992495	+
AAEL016067	supercont1.16	3016039	3017038	+
AAEL016068	supercont1.16	3035248	3036247	-
AAEL016069	supercont1.16	3065257	3066256	+
AAEL016070	supercont1.16	3081045	3082044	-
AAEL000793	supercont1.16	3233161	3234160	-
AAEL000769	supercont1.16	3313132	3314131	-
AAEL000754	supercont1.16	3541230	3542229	+
AAEL000775	supercont1.16	3608613	3609612	-
AAEL000777	supercont1.16	3622947	3623946	-
AAEL000791	supercont1.16	3760427	3761426	-
AAEL000787	supercont1.16	3763668	3764667	+
AAEL000794	supercont1.16	3799069	3800068	-
AAEL000785	supercont1.16	3820976	3821975	+
AAEL000770	supercont1.16	3854871	3855870	-
AAEL000757	supercont1.16	3880978	3881977	+
AAEL000764	supercont1.16	3945176	3946175	-
AAEL000778	supercont1.16	4035722	4036721	-
AAEL005500	supercont1.160	136959	137958	+
AAEL005510	supercont1.160	330122	331121	-
AAEL005504	supercont1.160	338184	339183	+
AAEL016376	supercont1.160	429944	430943	+
AAEL005507	supercont1.160	584841	585840	-
AAEL005508	supercont1.160	785975	786974	+
AAEL005506	supercont1.160	980376	981375	-
AAEL005502	supercont1.160	1209704	1210703	-
AAEL005497	supercont1.160	1250617	1251616	-
AAEL005498	supercont1.160	1257828	1258827	+
AAEL005501	supercont1.160	1302624	1303623	-
AAEL005499	supercont1.160	1398140	1399139	-
AAEL016377	supercont1.160	1494621	1495620	-
AAEL005512	supercont1.160	1514602	1515601	-
AAEL005505	supercont1.160	1646712	1647711	-
AAEL016378	supercont1.160	1912204	1913203	-
AAEL005511	supercont1.160	2057551	2058550	-
AAEL005509	supercont1.160	2254008	2255007	+
AAEL005513	supercont1.160	2276846	2277845	-
AAEL005503	supercont1.160	2345267	2346266	+
AAEL015222	supercont1.1604	40794	41793	-
AAEL015223	supercont1.1604	40870	41869	+
AAEL005516	supercont1.161	109246	110245	+
AAEL005530	supercont1.161	182514	183513	+
AAEL005523	supercont1.161	288793	289792	+
AAEL005531	supercont1.161	313322	314321	-
AAEL005527	supercont1.161	366174	367173	-
AAEL005515	supercont1.161	391168	392167	-
AAEL005528	supercont1.161	412849	413848	+
AAEL005532	supercont1.161	517050	518049	-
AAEL005514	supercont1.161	545486	546485	-
AAEL005520	supercont1.161	572536	573535	-
AAEL005522	supercont1.161	629562	630561	-
AAEL005524	supercont1.161	674375	675374	+
AAEL005517	supercont1.161	697385	698384	+
AAEL005521	supercont1.161	710865	711864	+
AAEL005519	supercont1.161	734580	735579	+
AAEL005529	supercont1.161	870300	871299	-
AAEL005526	supercont1.161	1589696	1590695	-
AAEL005525	supercont1.161	1993283	1994282	-
AAEL005518	supercont1.161	2045705	2046704	+
AAEL015227	supercont1.1610	56845	57844	-
AAEL015231	supercont1.1616	2800	3799	+
AAEL015233	supercont1.1618	1680	2679	+
AAEL015232	supercont1.1618	36668	37667	-
AAEL005549	supercont1.162	36074	37073	+
AAEL005547	supercont1.162	66486	67485	-
AAEL005546	supercont1.162	117459	118458	+
AAEL005553	supercont1.162	126992	127991	+
AAEL005535	supercont1.162	223665	224664	+
AAEL005550	supercont1.162	461228	462227	+
AAEL005541	supercont1.162	483665	484664	-
AAEL005538	supercont1.162	490740	491739	+
AAEL005534	supercont1.162	530292	531291	-
AAEL005539	supercont1.162	553691	554690	+
AAEL005536	supercont1.162	603812	604811	-
AAEL005548	supercont1.162	615745	616744	-
AAEL005545	supercont1.162	627569	628568	-
AAEL005533	supercont1.162	717441	718440	+
AAEL005552	supercont1.162	759132	760131	-
AAEL005542	supercont1.162	774994	775993	-
AAEL005551	supercont1.162	839077	840076	-
AAEL005537	supercont1.162	940749	941748	-
AAEL005540	supercont1.162	1942398	1943397	+
AAEL005543	supercont1.162	2029084	2030083	-
AAEL005544	supercont1.162	2105560	2106559	-
AAEL005567	supercont1.163	28790	29789	+
AAEL005560	supercont1.163	67442	68441	-
AAEL005562	supercont1.163	189848	190847	+
AAEL005574	supercont1.163	394860	395859	-
AAEL005572	supercont1.163	419418	420417	+
AAEL005581	supercont1.163	556539	557538	-
AAEL005573	supercont1.163	635676	636675	-
AAEL005558	supercont1.163	641939	642938	+
AAEL005588	supercont1.163	671114	672113	+
AAEL005579	supercont1.163	690355	691354	-
AAEL005554	supercont1.163	693018	694017	+
AAEL005565	supercont1.163	725928	726927	-
AAEL005578	supercont1.163	735421	736420	+
AAEL005564	supercont1.163	774812	775811	-
AAEL005580	supercont1.163	896182	897181	+
AAEL005569	supercont1.163	938156	939155	-
AAEL005559	supercont1.163	1047778	1048777	-
AAEL005586	supercont1.163	1086503	1087502	+
AAEL005575	supercont1.163	1098170	1099169	+
AAEL005561	supercont1.163	1221420	1222419	-
AAEL005555	supercont1.163	1432929	1433928	-
AAEL005593	supercont1.163	1478589	1479588	-
AAEL005590	supercont1.163	1500747	1501746	+
AAEL005583	supercont1.163	1545868	1546867	-
AAEL005584	supercont1.163	1561326	1562325	+
AAEL005585	supercont1.163	1573501	1574500	+
AAEL005577	supercont1.163	1573548	1574547	-
AAEL005592	supercont1.163	1585040	1586039	+
AAEL005582	supercont1.163	1633969	1634968	-
AAEL005571	supercont1.163	1711301	1712300	-
AAEL005568	supercont1.163	1722646	1723645	+
AAEL005566	supercont1.163	1733564	1734563	+
AAEL005591	supercont1.163	1785932	1786931	+
AAEL005587	supercont1.163	1829407	1830406	+
AAEL005557	supercont1.163	1846809	1847808	+
AAEL005570	supercont1.163	1890185	1891184	+
AAEL005556	supercont1.163	1918117	1919116	+
AAEL005576	supercont1.163	1946654	1947653	+
AAEL005589	supercont1.163	1984354	1985353	+
AAEL005563	supercont1.163	1989240	1990239	+
AAEL015234	supercont1.1630	17354	18353	-
AAEL015236	supercont1.1635	34495	35494	+
AAEL015235	supercont1.1635	56352	57351	-
AAEL005598	supercont1.164	43122	44121	-
AAEL005601	supercont1.164	57969	58968	+
AAEL005610	supercont1.164	58846	59845	-
AAEL005617	supercont1.164	96872	97871	+
AAEL005605	supercont1.164	187518	188517	+
AAEL005613	supercont1.164	254784	255783	-
AAEL005597	supercont1.164	277134	278133	-
AAEL005600	supercont1.164	308109	309108	+
AAEL005596	supercont1.164	361224	362223	-
AAEL005604	supercont1.164	378214	379213	-
AAEL005611	supercont1.164	391315	392314	+
AAEL005594	supercont1.164	403017	404016	-
AAEL005603	supercont1.164	410836	411835	-
AAEL005609	supercont1.164	425187	426186	+
AAEL005614	supercont1.164	439650	440649	-
AAEL005607	supercont1.164	458672	459671	+
AAEL005616	supercont1.164	501495	502494	-
AAEL005595	supercont1.164	786616	787615	-
AAEL005599	supercont1.164	840033	841032	-
AAEL016379	supercont1.164	1334925	1335924	-
AAEL016380	supercont1.164	1497747	1498746	-
AAEL005612	supercont1.164	1604760	1605759	+
AAEL005615	supercont1.164	1868759	1869758	+
AAEL005606	supercont1.164	1973627	1974626	-
AAEL005602	supercont1.164	2000604	2001603	-
AAEL005608	supercont1.164	2032615	2033614	+
AAEL015237	supercont1.1641	5198	6197	-
AAEL015238	supercont1.1644	7982	8981	+
AAEL015239	supercont1.1645	12430	13429	-
AAEL015242	supercont1.1647	17727	18726	-
AAEL015240	supercont1.1647	28143	29142	-
AAEL015241	supercont1.1647	37030	38029	-
AAEL005624	supercont1.165	219726	220725	+
AAEL005622	supercont1.165	274772	275771	+
AAEL005623	supercont1.165	346250	347249	+
AAEL005618	supercont1.165	435541	436540	-
AAEL005620	supercont1.165	636851	637850	-
AAEL005619	supercont1.165	945957	946956	+
AAEL005621	supercont1.165	1774159	1775158	+
AAEL005625	supercont1.165	1783733	1784732	-
AAEL016381	supercont1.165	1876993	1877992	-
AAEL015244	supercont1.1650	27428	28427	-
AAEL015243	supercont1.1650	46162	47161	-
AAEL015246	supercont1.1658	22804	23803	-
AAEL016382	supercont1.166	112046	113045	-
AAEL005630	supercont1.166	344514	345513	+
AAEL005632	supercont1.166	496194	497193	-
AAEL005633	supercont1.166	584398	585397	-
AAEL005634	supercont1.166	1133741	1134740	-
AAEL005639	supercont1.166	1378677	1379676	+
AAEL005626	supercont1.166	1407123	1408122	-
AAEL005636	supercont1.166	1410654	1411653	+
AAEL005631	supercont1.166	1455947	1456946	-
AAEL005635	supercont1.166	1459972	1460971	+
AAEL005629	supercont1.166	1480546	1481545	-
AAEL005628	supercont1.166	1490697	1491696	-
AAEL005640	supercont1.166	1580851	1581850	-
AAEL005638	supercont1.166	1708967	1709966	+
AAEL005637	supercont1.166	1718671	1719670	-
AAEL005627	supercont1.166	1777075	1778074	-
AAEL015248	supercont1.1660	6043	7042	+
AAEL015247	supercont1.1660	37136	38135	-
AAEL015249	supercont1.1662	12073	13072	+
AAEL015250	supercont1.1663	32161	33160	+
AAEL015251	supercont1.1664	31518	32517	-
AAEL015252	supercont1.1666	3167	4166	+
AAEL015253	supercont1.1666	13250	14249	+
AAEL015254	supercont1.1666	17824	18823	-
AAEL015255	supercont1.1667	49143	50142	-
AAEL005641	supercont1.167	84631	85630	+
AAEL005642	supercont1.167	556863	557862	+
AAEL015257	supercont1.1670	6434	7433	+
AAEL015258	supercont1.1670	13459	14458	+
AAEL015256	supercont1.1670	27682	28681	+
AAEL015259	supercont1.1670	28848	29847	+
AAEL015260	supercont1.1674	450	1449	+
AAEL015262	supercont1.1677	25283	26282	-
AAEL015263	supercont1.1678	18278	19277	-
AAEL015264	supercont1.1678	38125	39124	+
AAEL016383	supercont1.168	126735	127734	+
AAEL005649	supercont1.168	271700	272699	+
AAEL005658	supercont1.168	570465	571464	-
AAEL005654	supercont1.168	849285	850284	+
AAEL005647	supercont1.168	852155	853154	+
AAEL005645	supercont1.168	875622	876621	-
AAEL005662	supercont1.168	886474	887473	-
AAEL005651	supercont1.168	894336	895335	+
AAEL005648	supercont1.168	923680	924679	+
AAEL005660	supercont1.168	950826	951825	-
AAEL005643	supercont1.168	977261	978260	-
AAEL005663	supercont1.168	985864	986863	+
AAEL005653	supercont1.168	1021356	1022355	+
AAEL005646	supercont1.168	1042796	1043795	+
AAEL005657	supercont1.168	1089321	1090320	-
AAEL005655	supercont1.168	1173593	1174592	-
AAEL005656	supercont1.168	1238995	1239994	-
AAEL005659	supercont1.168	1251784	1252783	+
AAEL005644	supercont1.168	1280426	1281425	-
AAEL005652	supercont1.168	1281311	1282310	-
AAEL005650	supercont1.168	1292405	1293404	-
AAEL005661	supercont1.168	1749746	1750745	+
AAEL015265	supercont1.1681	6657	7656	+
AAEL015266	supercont1.1681	18564	19563	+
AAEL015267	supercont1.1681	31485	32484	+
AAEL015270	supercont1.1689	39366	40365	-
AAEL005675	supercont1.169	59141	60140	+
AAEL005668	supercont1.169	91053	92052	+
AAEL005673	supercont1.169	299328	300327	-
AAEL005665	supercont1.169	332342	333341	-
AAEL005670	supercont1.169	358408	359407	-
AAEL005664	supercont1.169	481865	482864	+
AAEL005674	supercont1.169	531128	532127	+
AAEL005676	supercont1.169	646188	647187	-
AAEL005672	supercont1.169	664271	665270	-
AAEL005669	supercont1.169	732315	733314	-
AAEL015953	supercont1.169	796024	797023	-
AAEL005666	supercont1.169	878786	879785	-
AAEL005671	supercont1.169	929253	930252	-
AAEL005667	supercont1.169	1435230	1436229	+
AAEL015271	supercont1.1690	334	1333	+
AAEL015272	supercont1.1691	161393	162392	+
AAEL015274	supercont1.1694	35845	36844	+
AAEL015276	supercont1.1695	2543	3542	+
AAEL015275	supercont1.1695	14137	15136	-
AAEL015277	supercont1.1695	30026	31025	+
AAEL015279	supercont1.1698	5054	6053	+
AAEL015278	supercont1.1698	5332	6331	-
AAEL015282	supercont1.1698	12092	13091	+
AAEL015281	supercont1.1698	17328	18327	+
AAEL015280	supercont1.1698	17543	18542	-
AAEL000816	supercont1.17	174400	175399	+
AAEL000826	supercont1.17	521116	522115	+
AAEL000843	supercont1.17	622905	623904	+
AAEL000838	supercont1.17	681537	682536	-
AAEL000823	supercont1.17	1003054	1004053	-
AAEL000807	supercont1.17	1022478	1023477	-
AAEL000806	supercont1.17	1068910	1069909	-
AAEL000809	supercont1.17	1087742	1088741	-
AAEL015831	supercont1.17	1098707	1099706	+
AAEL016071	supercont1.17	1099437	1100436	+
AAEL016072	supercont1.17	1100563	1101562	+
AAEL016073	supercont1.17	1116099	1117098	+
AAEL000810	supercont1.17	1180293	1181292	-
AAEL000825	supercont1.17	1228584	1229583	-
AAEL000852	supercont1.17	1229029	1230028	+
AAEL000853	supercont1.17	1232293	1233292	-
AAEL000849	supercont1.17	1250125	1251124	-
AAEL000848	supercont1.17	1380707	1381706	-
AAEL000795	supercont1.17	1407260	1408259	+
AAEL000815	supercont1.17	1420063	1421062	+
AAEL000804	supercont1.17	1421385	1422384	-
AAEL000828	supercont1.17	1450792	1451791	-
AAEL000817	supercont1.17	1485793	1486792	-
AAEL000814	supercont1.17	1683994	1684993	+
AAEL000830	supercont1.17	1710097	1711096	+
AAEL000801	supercont1.17	1746716	1747715	-
AAEL000808	supercont1.17	1786864	1787863	-
AAEL000803	supercont1.17	2227597	2228596	+
AAEL000805	supercont1.17	2353188	2354187	+
AAEL000819	supercont1.17	2380819	2381818	+
AAEL000829	supercont1.17	2400021	2401020	-
AAEL000820	supercont1.17	2415164	2416163	+
AAEL000813	supercont1.17	2418908	2419907	-
AAEL000797	supercont1.17	2431356	2432355	+
AAEL000834	supercont1.17	2453676	2454675	-
AAEL000822	supercont1.17	2467548	2468547	+
AAEL000844	supercont1.17	2481892	2482891	-
AAEL000802	supercont1.17	2507053	2508052	-
AAEL000841	supercont1.17	2520306	2521305	+
AAEL000798	supercont1.17	2526107	2527106	+
AAEL000839	supercont1.17	2553889	2554888	+
AAEL000847	supercont1.17	2554716	2555715	-
AAEL016074	supercont1.17	2560913	2561912	+
AAEL000832	supercont1.17	2686813	2687812	+
AAEL000800	supercont1.17	2731698	2732697	-
AAEL000842	supercont1.17	2733592	2734591	-
AAEL000836	supercont1.17	2750552	2751551	+
AAEL000845	supercont1.17	2806058	2807057	+
AAEL000850	supercont1.17	2827732	2828731	-
AAEL000818	supercont1.17	3256192	3257191	+
AAEL000821	supercont1.17	3416930	3417929	+
AAEL000840	supercont1.17	3610197	3611196	+
AAEL000799	supercont1.17	3626898	3627897	-
AAEL000811	supercont1.17	3649995	3650994	-
AAEL000812	supercont1.17	3729504	3730503	-
AAEL000851	supercont1.17	3778562	3779561	-
AAEL000835	supercont1.17	3901701	3902700	-
AAEL000796	supercont1.17	3922194	3923193	-
AAEL000846	supercont1.17	3931657	3932656	-
AAEL000833	supercont1.17	3936844	3937843	-
AAEL000837	supercont1.17	3961460	3962459	-
AAEL000831	supercont1.17	3975929	3976928	+
AAEL000827	supercont1.17	3988260	3989259	+
AAEL000824	supercont1.17	4283631	4284630	+
AAEL000854	supercont1.17	4302274	4303273	+
AAEL005707	supercont1.170	16938	17937	+
AAEL005693	supercont1.170	43685	44684	-
AAEL005690	supercont1.170	77901	78900	+
AAEL005677	supercont1.170	108728	109727	-
AAEL005701	supercont1.170	213949	214948	+
AAEL016384	supercont1.170	305861	306860	+
AAEL005705	supercont1.170	311154	312153	+
AAEL005683	supercont1.170	343159	344158	-
